,Hour,Humidity (%),Pressure (hPa),Rain (mm/1h),Temperature (°C),Visibility (km),Wind (average) (km/h),eventDate,eventName
0,11.5,95.54166666666667,1035.3708333333336,0.0,4.316666666666666,1.125,4.75,2015-12-05,"Course de l'Escalade, Genève"
0,11.5,75.20833333333333,1019.3791666666667,0.0,5.483333333333332,8.375,18.166666666666668,2014-12-06,"Course de l'Escalade, Genève"
0,11.5,72.79166666666667,1014.5749999999999,0.0,1.163157894736842,14.583333333333334,10.708333333333334,2012-12-01,"Course de l'Escalade, Genève"
0,11.5,80.20833333333333,1020.4375,0.6699999999999999,7.133333333333334,14.0,14.916666666666666,2011-12-03,"Course de l'Escalade, Genève"
0,11.5,83.41666666666667,1018.9999999999999,0.0,3.475,17.708333333333332,3.9583333333333335,2009-12-05,"Course de l'Escalade, Genève"
0,11.5,82.91666666666667,1013.9375,0.9526315789473683,4.675,12.125,11.666666666666666,2008-12-06,"Course de l'Escalade, Genève"
0,11.5,83.45833333333333,1017.0166666666665,2.0,6.361111111111111,18.5125,6.782608695652174,2007-12-01,"Course de l'Escalade, Genève"
0,11.5,88.04166666666667,1024.8583333333333,,5.191666666666667,5.170833333333333,3.9545454545454546,2006-12-02,"Course de l'Escalade, Genève"
0,11.5,83.91666666666667,1006.9666666666667,14.0,4.3999999999999995,,16.142857142857142,2005-12-03,"Course de l'Escalade, Genève"
0,11.5,84.41666666666667,1027.2250000000001,,6.0125,,9.545454545454545,2004-12-04,"Course de l'Escalade, Genève"
0,11.5,89.04166666666667,1023.8083333333334,0.20000000000000004,3.941666666666667,,6.6521739130434785,2003-12-06,"Course de l'Escalade, Genève"
0,11.5,76.34782608695652,1017.7217391304347,,4.421739130434782,,12.391304347826088,2002-12-07,"Course de l'Escalade, Genève"
0,11.5,73.75,1021.3041666666668,0.0,4.187499999999999,3.125,11.958333333333334,2016-12-03,"Course de l'Escalade, Genève"
0,11.5,72.625,1031.2125,0.0,3.71,15.416666666666666,7.25,2013-12-07,"Course de l'Escalade, Genève"
0,11.5,85.875,1022.8000000000002,12.3,,10.833333333333334,3.6666666666666665,2010-12-04,"Course de l'Escalade, Genève"
0,11.5,93.63636363636364,1022.5565217391304,0.1,8.339130434782609,,3.357142857142857,2001-12-01,"Course de l'Escalade, Genève"
0,11.5,87.20833333333333,1019.2666666666669,1.625,8.620833333333334,,5.388888888888889,2000-12-02,"Course de l'Escalade, Genève"
0,11.5,75.6086956521739,1018.9304347826088,1.0,7.23913043478261,,17.043478260869566,1999-12-04,"Course de l'Escalade, Genève"
